row_perturbation,n_top,mean_abs_corr_top,mean_signed_corr_top
EIF1,10,0.25535862483084204,0.12706600986421107
PSMB5,10,0.4986958891153336,0.32305642664432527
ANKRD11,10,0.17824646569788455,0.17824646569788455
PTMA,9,0.6007305483023325,0.4315200812286801
HSP90B1,10,0.535853699594736,0.2680048935115337
TFAM,9,0.45509201619360184,0.45509201619360184
C17orf58,10,0.2742324324324727,0.25766347367316483
ACTB,9,0.4476196898354424,0.20255880223380196
YEATS2,10,0.589836211502552,0.0363872304558754
RPL41,10,0.3919681627303362,-0.1848051805049181
SIN3A,10,0.555945536494255,0.19906074106693267
HSPA8,9,0.48344281564156216,0.16782347444030973
GRSF1,10,0.5555250570178032,0.26488557308912275
RAC3,10,0.5037783924490213,0.2724338237196207
ATP2A2,10,0.6218513995409012,0.6218513995409012
JAZF1,10,0.40101477652788164,0.217779503762722
MRPL34,10,0.3986101044341922,0.3891487466171384
HSD17B10,10,0.3756007531657815,0.33599402811378243
TPT1,10,0.4634091954678297,-0.11778741292655467
HSPD1,10,0.3292735517024994,0.03862559199333191
MRPL24,10,0.3915117159485817,0.3915117159485817
MCMBP,10,0.4706222370266914,0.34226116687059405
GFM1,10,0.6607399344444275,0.6607399344444275
ZBTB17,10,0.6568260341882706,-0.19178968369960786
TRNT1,10,0.40767596662044525,0.24034254252910614
SPCS3,10,0.3761217687278986,0.1658590879291296
DLD,10,0.5144833616912365,0.4993028797209263
RSL1D1,10,0.48037508241832255,0.20149308554828166
CSE1L,10,0.593441727757454,0.593441727757454
DNMT1,10,0.5068844969151541,0.4610573892714456
PAXBP1,10,0.41888127345591786,0.41888127345591786
PHAX,10,0.5003778733313083,0.4036867044866085
THAP1,10,0.4625428285449743,-0.07717943452298641
MRPL16,9,0.37290816836886936,0.2955301105976105
SSU72,9,0.46117570002873737,0.46117570002873737
YEATS4,10,0.5876798510551453,0.5280844688415527
MVK,10,0.5347979065962136,-0.09731795219704509
RBMX2,10,0.41273249089717867,0.3435333102941513
EXOSC2,10,0.6019182380288839,0.47851553596556184
PSMG3,10,0.5572599318576976,0.5105952736688778
EEF2,9,0.4371284113989936,0.3326885832680596
GPS1,10,0.2762938607484102,0.09816420115530491
TSR1,10,0.5188169486820697,0.37893989160656927
PSMA4,10,0.5033714741468429,0.5033714741468429
NUP107,9,0.5372919589281082,0.5372919589281082
MRPL36,10,0.26937279254198077,0.24594958499073982
CYS1,10,0.3237067844253033,-0.3237067844253033
OGFOD1,9,0.5251772767967648,0.12159031960699293
TTI1,10,0.6670992285013199,0.33795064985752105
UBA2,10,0.4006222303956747,0.3855266164988279
HNRNPL,10,0.611796361207962,-0.04848377108573913
